"candidato","partido","votos","porcentaje","electo","lista","comuna","pacto"
"2. CHRISTIAN ALEJANDRO RUIZ BAHAMONDE (H)","IND",13,0.0107,FALSE,"INSULARES E INDEPENDIENTES (D26)","FUTALEUFU","Otros"
"3. CLEMENTINA LEPIO MILIPICHUN (M)","IND",10,0.0082,FALSE,"INSULARES E INDEPENDIENTES (D26)","FUTALEUFU","Otros"
"4. DIEGO NICOLAS VALLEJOS GUZMAN (H)","IND",13,0.0107,FALSE,"INSULARES E INDEPENDIENTES (D26)","FUTALEUFU","Otros"
"5. NOELIA DEL CARMEN OJEDA VARGAS (M)","IND",3,0.0025,FALSE,"INSULARES E INDEPENDIENTES (D26)","FUTALEUFU","Otros"
"6. MIGUEL ANGEL MALDONADO CATALAN (H)","IND",5,0.0041,FALSE,"INSULARES E INDEPENDIENTES (D26)","FUTALEUFU","Otros"
"7. KATERINE MONTEALEGRE NAVARRO (M)","UDI",25,0.0206,TRUE,"VAMOS POR CHILE","FUTALEUFU","Vamos por Chile"
"8. MARCOS ALBERTO EMILFORK KONOW (H)","IND-UDI",36,0.0297,FALSE,"VAMOS POR CHILE","FUTALEUFU","Vamos por Chile"
"9. ALEJANDRA WESTERMAYER FUENTES (M)","IND-EVOPOLI",31,0.0255,FALSE,"VAMOS POR CHILE","FUTALEUFU","Vamos por Chile"
"10. JAIRO MIGUEL QUINTEROS RODRIGUEZ (H)","IND-REPUBL.",120,0.0988,FALSE,"VAMOS POR CHILE","FUTALEUFU","Vamos por Chile"
"11. PATRICIA SANZANA CARDENAS (M)","IND-RN",6,0.0049,FALSE,"VAMOS POR CHILE","FUTALEUFU","Vamos por Chile"
"12. JUAN LUIS OSSA SANTA CRUZ (H)","IND-RN",71,0.0585,FALSE,"VAMOS POR CHILE","FUTALEUFU","Vamos por Chile"
"13. ROSA BETTY MUÑOZ SERON (M)","IND-PL",23,0.0189,FALSE,"LISTA DEL APRUEBO","FUTALEUFU","Lista del apruebo"
"14. JULIO ALVAREZ PINTO (H)","PS",36,0.0297,TRUE,"LISTA DEL APRUEBO","FUTALEUFU","Lista del apruebo"
"15. CARMEN GLORIA MUÑOZ TORRES (M)","PDC",18,0.0148,FALSE,"LISTA DEL APRUEBO","FUTALEUFU","Lista del apruebo"
"16. SAMUEL ANDRES GALVEZ DERPICH (H)","PL",4,0.0033,FALSE,"LISTA DEL APRUEBO","FUTALEUFU","Lista del apruebo"
"17. JACQUELIN PAZ CABRERA (M)","PS",3,0.0025,FALSE,"LISTA DEL APRUEBO","FUTALEUFU","Lista del apruebo"
"18. ROBERTO ALEJANDRO HURTADO GUZMAN (H)","IND-PPD",6,0.0049,FALSE,"LISTA DEL APRUEBO","FUTALEUFU","Lista del apruebo"
"19. PATRICIA ELENA RADA SALAZAR (M)","IND-RD",36,0.0297,FALSE,"APRUEBO DIGNIDAD","FUTALEUFU","Apruebo Dignidad"
"20. ESTEBAN ALEJANDRO VIELMA SALAZAR (H)","RD",8,0.0066,FALSE,"APRUEBO DIGNIDAD","FUTALEUFU","Apruebo Dignidad"
"21. MARIA OLGA DELGADO ZAPATA (M)","IND-PCCH",5,0.0041,FALSE,"APRUEBO DIGNIDAD","FUTALEUFU","Apruebo Dignidad"
"22. CATALDO DEL TRANSITO MARTINEZ PARDO (H)","PCCH",6,0.0049,FALSE,"APRUEBO DIGNIDAD","FUTALEUFU","Apruebo Dignidad"
"23. PAMELA LORENA ESPINOZA ASENCIO (M)","IND-COMUNES",12,0.0099,FALSE,"APRUEBO DIGNIDAD","FUTALEUFU","Apruebo Dignidad"
"24. FRANCISCO NABY VERA MILLAQUEN (H)","IND-COMUNES",6,0.0049,FALSE,"APRUEBO DIGNIDAD","FUTALEUFU","Apruebo Dignidad"
"25. JOSEFA BELMAR BAHAMONDEZ (M)","PNC",16,0.0132,FALSE,"CIUDADANOS CRISTIANOS","FUTALEUFU","Otros"
"26. RUBEN ALEJANDRO BUSTOS SAN MARTIN (H)","PNC",16,0.0132,FALSE,"CIUDADANOS CRISTIANOS","FUTALEUFU","Otros"
"27. ARACELLI DEL PILAR CACERES GONZALEZ (M)","PNC",10,0.0082,FALSE,"CIUDADANOS CRISTIANOS","FUTALEUFU","Otros"
"28. MARIELA CECILIA NUÑEZ AVILA (M)","IND",29,0.0239,FALSE,"INDEPENDIENTES NUEVA CONSTITUCION (D26)","FUTALEUFU","Nueva Constitucion"
"29. GASPAR ROBERTO DOMINGUEZ DONOSO (H)","IND",543,0.4473,TRUE,"INDEPENDIENTES NUEVA CONSTITUCION (D26)","FUTALEUFU","Nueva Constitucion"
"30. INES CAROLA CARDENAS NAHUELHUEN (M)","IND",7,0.0058,FALSE,"INDEPENDIENTES NUEVA CONSTITUCION (D26)","FUTALEUFU","Nueva Constitucion"
"31. JAVIER FERNANDO GALLARDO PEREZ (H)","IND",22,0.0181,FALSE,"INDEPENDIENTES NUEVA CONSTITUCION (D26)","FUTALEUFU","Nueva Constitucion"
"32. MARCELA BEATRIZ LINZMAYER URIBE (M)","IND",12,0.0099,FALSE,"INDEPENDIENTES NUEVA CONSTITUCION (D26)","FUTALEUFU","Nueva Constitucion"
"33. VICTOR NEFTALI RIQUELME GUTIERREZ (H)","IND",9,0.0074,FALSE,"INDEPENDIENTES NUEVA CONSTITUCION (D26)","FUTALEUFU","Nueva Constitucion"
"34. ROMINA YARITZA BORQUEZ CASTRO (M)","IND",31,0.0255,FALSE,"CANDIDATURA INDEPENDIENTE","FUTALEUFU","Otros"
"1. CLAUDIA  LETELIER VELASQUEZ (M)","IND",172,0.0399,FALSE,"CHILE INDEPENDIENTE (D24)","FUTRONO","Otros"
"2. JUAN CARLOS ARAYA MARDONES (H)","IND",38,0.0088,FALSE,"CHILE INDEPENDIENTE (D24)","FUTRONO","Otros"
"3. CARMEN GLORIA GARATE SILVA (M)","IND",40,0.0093,FALSE,"CHILE INDEPENDIENTE (D24)","FUTRONO","Otros"
"4. GUSTAVO EDUARDO DAVILA SEPULVEDA (H)","IND",19,0.0044,FALSE,"CHILE INDEPENDIENTE (D24)","FUTRONO","Otros"
"5. VALERIA  ANTIMILLA PILQUIANTE (M)","IND",49,0.0114,FALSE,"CHILE INDEPENDIENTE (D24)","FUTRONO","Otros"
"6. FABIOLA  LEIVA TRUJILLO (M)","PEV",59,0.0137,FALSE,"PARTIDO ECOLOGISTA VERDE","FUTRONO","Otros"
"7. ESTEFANO  CANCINO CACERES (H)","PEV",27,0.0063,FALSE,"PARTIDO ECOLOGISTA VERDE","FUTRONO","Otros"
"8. MONICA  PROVOSTE VIDAL (M)","PEV",39,0.009,FALSE,"PARTIDO ECOLOGISTA VERDE","FUTRONO","Otros"
"9. LUIS  MANCILLA PEÑA (H)","PEV",15,0.0035,FALSE,"PARTIDO ECOLOGISTA VERDE","FUTRONO","Otros"
"10. NICOLE ALEJANDRA CORNEJO PINO (M)","IND",124,0.0288,FALSE,"LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24)","FUTRONO","Del pueblo"
"11. EDUARDO ENRIQUE RAMIREZ BLAMEY (H)","IND",20,0.0046,FALSE,"LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24)","FUTRONO","Del pueblo"
"12. PATRICIA CECILIA VELOSO ESTUARDO (M)","IND",122,0.0283,FALSE,"LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24)","FUTRONO","Del pueblo"
"13. RICARDO ESTEBAN VENEGAS CURRIHUIL (H)","IND",34,0.0079,FALSE,"LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24)","FUTRONO","Del pueblo"
"14. VANNIA LORENA PACHECO BUSTOS (M)","IND",42,0.0097,FALSE,"LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24)","FUTRONO","Del pueblo"
"15. FREDDY ANDRES SANDOVAL GONZALEZ (H)","IND",41,0.0095,FALSE,"LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24)","FUTRONO","Del pueblo"
"16. ANDREA PETERMANN REIFSCHNEIDER (M)","IND-UDI",140,0.0325,FALSE,"VAMOS POR CHILE","FUTRONO","Vamos por Chile"
"17. FELIPE IGNACIO MENA VILLAR (H)","UDI",494,0.1146,TRUE,"VAMOS POR CHILE","FUTRONO","Vamos por Chile"
"18. MARIA ANGELICA FERNANDEZ GUTIERREZ (M)","IND-EVOPOLI",69,0.016,FALSE,"VAMOS POR CHILE","FUTRONO","Vamos por Chile"
"19. TOMAS  MANDIOLA LAGOS (H)","EVOPOLI",122,0.0283,FALSE,"VAMOS POR CHILE","FUTRONO","Vamos por Chile"
"20. MARINA ISABEL NAIPAYAN SILVA (M)","RN",86,0.0199,FALSE,"VAMOS POR CHILE","FUTRONO","Vamos por Chile"
"21. CRISTHIAN CANCINO GUNCKEL (H)","RN",122,0.0283,FALSE,"VAMOS POR CHILE","FUTRONO","Vamos por Chile"
"22. RAMONA REYES PAINEQUEO (M)","PS",1.416,0.3285,TRUE,"LISTA DEL APRUEBO","FUTRONO","Lista del apruebo"
"23. MARCO ANTONIO LEAL RUIZ (H)","PPD",41,0.0095,FALSE,"LISTA DEL APRUEBO","FUTRONO","Lista del apruebo"
"24. RITA  SOTO SAVANDO (M)","IND-PDC",66,0.0153,FALSE,"LISTA DEL APRUEBO","FUTRONO","Lista del apruebo"
"25. PEDRO MUÑOZ LEIVA (H)","PS",94,0.0218,TRUE,"LISTA DEL APRUEBO","FUTRONO","Lista del apruebo"
"26. DIOSA DEL ROSARIO VILLARROEL PINEDA (M)","PR",12,0.0028,FALSE,"LISTA DEL APRUEBO","FUTRONO","Lista del apruebo"
"27. EXEQUIEL SILVA ORTIZ (H)","PDC",27,0.0063,FALSE,"LISTA DEL APRUEBO","FUTRONO","Lista del apruebo"
"28. AURORA GENOVEVA DELGADO VERGARA (M)","IND-RD",69,0.016,TRUE,"APRUEBO DIGNIDAD","FUTRONO","Apruebo Dignidad"
"29. FELIPE PINO CIFUENTES (H)","IND-RD",30,0.007,FALSE,"APRUEBO DIGNIDAD","FUTRONO","Apruebo Dignidad"
"30. DANIELLA ANDREA MILANCA OLIVARES (M)","IND-RD",26,0.006,FALSE,"APRUEBO DIGNIDAD","FUTRONO","Apruebo Dignidad"
"31. WLADIMIR MANZANO BARRIENTOS (H)","PCCH",26,0.006,FALSE,"APRUEBO DIGNIDAD","FUTRONO","Apruebo Dignidad"
"32. MARISOL ROSALBA TORRES RODAS (M)","IND-PCCH",60,0.0139,FALSE,"APRUEBO DIGNIDAD","FUTRONO","Apruebo Dignidad"
"33. VLADIMIR ALBERTO RIESCO BAHAMONDES (H)","PCCH",56,0.013,FALSE,"APRUEBO DIGNIDAD","FUTRONO","Apruebo Dignidad"
"34. TAMARA DEL CARMEN AVENDAÑO LEVINAO (M)","PCC",80,0.0186,FALSE,"CIUDADANOS CRISTIANOS","FUTRONO","Otros"
"35. VICENTE ENRIQUE JARA PEREZ (H)","PCC",46,0.0107,FALSE,"CIUDADANOS CRISTIANOS","FUTRONO","Otros"
"36. CRISTIAN LUIS AREVALO MEYNARD (H)","IND-PCC",103,0.0239,FALSE,"CIUDADANOS CRISTIANOS","FUTRONO","Otros"
"37. XIMENA  SABAT ACLEH (M)","IND",159,0.0369,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D24)","FUTRONO","Nueva Constitucion"
"38. JOSE  ESCAIDA NAVARRO (H)","IND",46,0.0107,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D24)","FUTRONO","Nueva Constitucion"
"39. ANDREA RAGLIANTI SOLIVELLES (M)","IND",24,0.0056,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D24)","FUTRONO","Nueva Constitucion"
"40. CLAUDIO ALEJANDRO FAUNDEZ BECERRA (H)","IND",56,0.013,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D24)","FUTRONO","Nueva Constitucion"
"1. RUTH HURTADO OLAVE (M)","IND-RN",58,0.0208,TRUE,"VAMOS POR CHILE","GALVARINO","Vamos por Chile"
"2. CRISTIAN GREENHILL SCHIFFERLI (H)","RN",221,0.0794,FALSE,"VAMOS POR CHILE","GALVARINO","Vamos por Chile"
"3. ISABEL QUIROZ LEPE (M)","IND-EVOPOLI",25,0.009,FALSE,"VAMOS POR CHILE","GALVARINO","Vamos por Chile"
"4. GONZALO ARENAS HODAR (H)","UDI",33,0.0119,FALSE,"VAMOS POR CHILE","GALVARINO","Vamos por Chile"
"5. GENNY FULGERI VENTURELLI (M)","IND-EVOPOLI",14,0.005,FALSE,"VAMOS POR CHILE","GALVARINO","Vamos por Chile"
"6. EDUARDO ANDRES CRETTON REBOLLEDO (H)","UDI",373,0.1341,TRUE,"VAMOS POR CHILE","GALVARINO","Vamos por Chile"
"7. KATHERINA ELISABETH HIDALGO CAMPOS (M)","IND-PPD",40,0.0144,FALSE,"LISTA DEL APRUEBO","GALVARINO","Lista del apruebo"
"8. ALEX LORENS CASTILLO SALAMANCA (H)","PR",14,0.005,FALSE,"LISTA DEL APRUEBO","GALVARINO","Lista del apruebo"
"9. WALESKA  MORALES MORALES (M)","IND-PDC",31,0.0111,FALSE,"LISTA DEL APRUEBO","GALVARINO","Lista del apruebo"
"10. FUAD  CHAHIN VALENZUELA (H)","PDC",885,0.3181,TRUE,"LISTA DEL APRUEBO","GALVARINO","Lista del apruebo"
"11. SOFIA DEL CARMEN PAINIQUEO TRAGNOLAO (M)","IND-PPD",55,0.0198,FALSE,"LISTA DEL APRUEBO","GALVARINO","Lista del apruebo"
"12. HAYDEE ULLOA BRAVO (M)","IND-IGUALDAD",80,0.0288,FALSE,"APRUEBO DIGNIDAD","GALVARINO","Apruebo Dignidad"
"13. KAREN INIDIA CONA HUENCHULAF (M)","PCC",93,0.0334,FALSE,"CIUDADANOS CRISTIANOS","GALVARINO","Otros"
"14. MATIAS ISAAC SANHUEZA FERNANDEZ (H)","IND-PCC",60,0.0216,FALSE,"CIUDADANOS CRISTIANOS","GALVARINO","Otros"
"15. ESTRELLA CONSTANZA MEZA LAVANDERO (M)","PCC",8,0.0029,FALSE,"CIUDADANOS CRISTIANOS","GALVARINO","Otros"
"16. FELIPE ANDRES MARTINEZ REYES (H)","IND-PCC",24,0.0086,FALSE,"CIUDADANOS CRISTIANOS","GALVARINO","Otros"
"17. ALEJANDRA DAMARIS DEPAOLI PLATTER (M)","IND",121,0.0435,FALSE,"MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22)","GALVARINO","Del pueblo"
"18. PABLO ANDRES TAPIA PINTO (H)","IND",89,0.032,FALSE,"MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22)","GALVARINO","Del pueblo"
"19. LUZ ELIANA SANCHEZ LAGOS (M)","IND",68,0.0244,FALSE,"MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22)","GALVARINO","Del pueblo"
"20. OSCAR JAVIER SALAZAR ASTUDILLO (H)","IND",30,0.0108,FALSE,"MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22)","GALVARINO","Del pueblo"
"21. CRISTIAN ANDRES CORDOVA ARRIAGADA (H)","IND",19,0.0068,FALSE,"MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22)","GALVARINO","Del pueblo"
"22. XIMENA MATZUNI SALGADO KUWAHARA (M)","IND",102,0.0367,FALSE,"ORGANIZACIONES SOCIALES Y TERRITORIALES DEL WALLMAPU (D22)","GALVARINO","Otros"
"23. JOSE ALIRO HENRIQUEZ MORAGA (H)","IND",40,0.0144,FALSE,"ORGANIZACIONES SOCIALES Y TERRITORIALES DEL WALLMAPU (D22)","GALVARINO","Otros"
"24. MARIA ALEJANDRA RIVAS TRONCOSO (M)","IND",36,0.0129,FALSE,"ORGANIZACIONES SOCIALES Y TERRITORIALES DEL WALLMAPU (D22)","GALVARINO","Otros"
"25. FELIPE SEBASTIAN VENEGAS ULLOA (H)","IND",17,0.0061,FALSE,"ORGANIZACIONES SOCIALES Y TERRITORIALES DEL WALLMAPU (D22)","GALVARINO","Otros"
"26. BORIS JONATHAN SALAZAR LINCOLEO (H)","IND",29,0.0104,FALSE,"ORGANIZACIONES SOCIALES Y TERRITORIALES DEL WALLMAPU (D22)","GALVARINO","Otros"
"27. MARCELA ALICIA GUTIERREZ MELLA (M)","IND",88,0.0316,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D22)","GALVARINO","Nueva Constitucion"
"28. JUAN CARLOS NUÑEZ FARIAS (H)","IND",42,0.0151,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D22)","GALVARINO","Nueva Constitucion"
"29. DAMARY DINELLY ARTEAGA MUÑOZ (M)","IND",19,0.0068,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D22)","GALVARINO","Nueva Constitucion"
"30. JOSE GREGORIO VEGA SALAS (H)","IND",7,0.0025,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D22)","GALVARINO","Nueva Constitucion"
"31. MARTIN ALFONSO HAURI JEREZ (H)","IND",61,0.0219,FALSE,"INDEPENDIENTES POR LA NUEVA CONSTITUCION (D22)","GALVARINO","Nueva Constitucion"
"1. MILENE ROSSINA MOLINA ARANCIBIA (M)","IND",3,0.0361,FALSE,"SUMATE AHORA (D1)","GENERAL LAGOS","Otros"
"2. JOSE ISAAC BARRAZA LLERENA (H)","IND",2,0.0241,FALSE,"SUMATE AHORA (D1)","GENERAL LAGOS","Otros"
"3. YARLLETTE ISABEL MARAMBIO FLOR (M)","IND",1,0.012,FALSE,"SUMATE AHORA (D1)","GENERAL LAGOS","Otros"
"4. SERGIO JESUS GALLARDO ALFARO (H)","IND",1,0.012,FALSE,"SUMATE AHORA (D1)","GENERAL LAGOS","Otros"
"5. REBECA BUTRON CATALAN (M)","IND",4,0.0482,FALSE,"SUMATE AHORA (D1)","GENERAL LAGOS","Otros"
"6. GIGLIOLA MARIA CARLEVARINO WEITZEL (M)","IND",1,0.012,FALSE,"ARICA SIEMPRE ARICA (D1)","GENERAL LAGOS","Otros"
"7. WILLI HANS ZUCHEL BALCARCE (H)","IND",1,0.012,FALSE,"ARICA SIEMPRE ARICA (D1)","GENERAL LAGOS","Otros"
"8. CARMEN LIA VERGARA BERTON (M)","IND",3,0.0361,FALSE,"ARICA SIEMPRE ARICA (D1)","GENERAL LAGOS","Otros"
"9. CRISTIAN GUSTAVO PINTO CORTEZ (H)","IND",0,0,FALSE,"ARICA SIEMPRE ARICA (D1)","GENERAL LAGOS","Otros"
"10. POLLYANA RIVERA BIGAS (M)","IND-UDI",5,0.0602,TRUE,"VAMOS POR CHILE","GENERAL LAGOS","Vamos por Chile"
"11. VALERIO PATRICIO CAÑIPA TARQUE (H)","UDI",8,0.0964,FALSE,"VAMOS POR CHILE","GENERAL LAGOS","Vamos por Chile"
"12. MARIA CALATAYUD SAAVEDRA (M)","RN",4,0.0482,FALSE,"VAMOS POR CHILE","GENERAL LAGOS","Vamos por Chile"
"13. HECTOR MILLA BRAVO (H)","RN",0,0,FALSE,"VAMOS POR CHILE","GENERAL LAGOS","Vamos por Chile"
"14. BRUNELLA VINET MATTASOGLIO (M)","IND-EVOPOLI",0,0,FALSE,"VAMOS POR CHILE","GENERAL LAGOS","Vamos por Chile"
"15. FRANCISCO JAVIER GONZALEZ SILVA (H)","IND-EVOPOLI",1,0.012,FALSE,"VAMOS POR CHILE","GENERAL LAGOS","Vamos por Chile"
"16. HORTENCIA HIDALGO CACERES (M)","PS",3,0.0361,FALSE,"LISTA DEL APRUEBO","GENERAL LAGOS","Lista del apruebo"
"17. JORGE BRUNO ABARCA RIVEROS (H)","IND-PL",0,0,TRUE,"LISTA DEL APRUEBO","GENERAL LAGOS","Lista del apruebo"
"18. IRIS ANDREA RUBIO MEDINA (M)","IND-PRO",2,0.0241,FALSE,"LISTA DEL APRUEBO","GENERAL LAGOS","Lista del apruebo"
"19. RAUL  CASTRO LETELIER (H)","PDC",1,0.012,FALSE,"LISTA DEL APRUEBO","GENERAL LAGOS","Lista del apruebo"
"20. ERNESTINA DEL CARMEN SILVA VILLEGAS (M)","PR",2,0.0241,FALSE,"LISTA DEL APRUEBO","GENERAL LAGOS","Lista del apruebo"
"21. ENZO VARENS ALVAREZ (H)","PS",2,0.0241,FALSE,"LISTA DEL APRUEBO","GENERAL LAGOS","Lista del apruebo"
"22. CAROLINA ELIANA VIDELA OSORIO (M)","PCCH",5,0.0602,TRUE,"APRUEBO DIGNIDAD","GENERAL LAGOS","Apruebo Dignidad"
"23. CARLOS ALBERTO YEVENES TORRES (H)","PCCH",3,0.0361,FALSE,"APRUEBO DIGNIDAD","GENERAL LAGOS","Apruebo Dignidad"
"24. SHEILA MARIANELLA SANCHEZ COPAJA (M)","IND-FREVS",1,0.012,FALSE,"APRUEBO DIGNIDAD","GENERAL LAGOS","Apruebo Dignidad"
"25. HERMANN ROBERTO MONDACA RAITERI (H)","IND-FREVS",2,0.0241,FALSE,"APRUEBO DIGNIDAD","GENERAL LAGOS","Apruebo Dignidad"
"26. OSCAR BORIS PALLERES FLORES (H)","IND-COMUNES",1,0.012,FALSE,"APRUEBO DIGNIDAD","GENERAL LAGOS","Apruebo Dignidad"
"27. CATALINA DANIELA CABRERA MALDONADO (M)","IND",4,0.0482,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1)","GENERAL LAGOS","Nueva Constitucion"
"28. EDWIN RENE BRICEÑO COBB (H)","IND",0,0,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1)","GENERAL LAGOS","Nueva Constitucion"
"29. JUDITH ESTHER LUNA DUARTE (M)","IND",0,0,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1)","GENERAL LAGOS","Nueva Constitucion"
"30. RAFAEL ANDRES VARGAS MALDONADO (H)","IND",4,0.0482,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1)","GENERAL LAGOS","Nueva Constitucion"
"31. SARA FERNANDA VILLARROEL SAN MARTIN (M)","IND",3,0.0361,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1)","GENERAL LAGOS","Nueva Constitucion"
"32. RODRIGO ALEJANDRO VENEGAS VERGARA (H)","IND",1,0.012,FALSE,"INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1)","GENERAL LAGOS","Nueva Constitucion"
"33. FERNANDA ANDREA MORALES ARACENA (M)","PTR",2,0.0241,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","GENERAL LAGOS","Otros"
"34. CAMILO MARTIN JOFRE CAÑIPA (H)","PTR",0,0,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","GENERAL LAGOS","Otros"
"35. VALENTINA PAZ ALBARRACIN GONZALEZ (M)","PTR",0,0,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","GENERAL LAGOS","Otros"
"36. MANUEL AQUILES ROJAS VIDELA (H)","PTR",0,0,FALSE,"PARTIDO DE TRABAJADORES REVOLUCIONARIOS","GENERAL LAGOS","Otros"
"37. RODRIGO LEONARDO MUÑOZ PONCE (H)","IND",7,0.0843,FALSE,"CANDIDATURA INDEPENDIENTE","GENERAL LAGOS","Otros"
"38. ROMINA ALEJANDRA LE BLANC AMPUERO (M)","IND",6,0.0723,FALSE,"CANDIDATURA INDEPENDIENTE","GENERAL LAGOS","Otros"
"1. LUZ ELIANA ALCA TURRA (M)","IND",154,0.0311,FALSE,"ELIGE LA LISTA DEL PUEBLO (D23)","GORBEA","Del pueblo"
"2. HELMUTH JACOBO MARTINEZ LLANCAPAN (H)","IND",63,0.0127,TRUE,"ELIGE LA LISTA DEL PUEBLO (D23)","GORBEA","Del pueblo"
"3. ROSSANA ANGELICA BETANCUR ESCOBAR (M)","IND",69,0.0139,FALSE,"ELIGE LA LISTA DEL PUEBLO (D23)","GORBEA","Del pueblo"
"4. ALEJANDRO MAURICIO MELLADO GATICA (H)","IND",49,0.0099,FALSE,"ELIGE LA LISTA DEL PUEBLO (D23)","GORBEA","Del pueblo"
"5. MARCELA DEL CARMEN LEPILAF PILQUIMAN (M)","IND",87,0.0175,FALSE,"ELIGE LA LISTA DEL PUEBLO (D23)","GORBEA","Del pueblo"
"6. MARIO JAVIER FLORES CHAVEZ (H)","IND",50,0.0101,FALSE,"ELIGE LA LISTA DEL PUEBLO (D23)","GORBEA","Del pueblo"
"7. XIMENA ALARCON FUENTEALBA (M)","IND",106,0.0214,FALSE,"ELIGE LA LISTA DEL PUEBLO (D23)","GORBEA","Del pueblo"
"8. SOLEDAD IRRIBARRA ESPINOZA (M)","PEV",81,0.0163,FALSE,"PARTIDO ECOLOGISTA VERDE","GORBEA","Otros"
"9. IVAN GORKY ROJAS VILLAGRA (H)","PEV",22,0.0044,FALSE,"PARTIDO ECOLOGISTA VERDE","GORBEA","Otros"
"10. LORENA  JARA JARA (M)","PEV",62,0.0125,FALSE,"PARTIDO ECOLOGISTA VERDE","GORBEA","Otros"
"11. HERNAN  CACERES AVILA (H)","PEV",17,0.0034,FALSE,"PARTIDO ECOLOGISTA VERDE","GORBEA","Otros"
"12. MONICA  CASTRO CANALES (M)","PEV",34,0.0069,FALSE,"PARTIDO ECOLOGISTA VERDE","GORBEA","Otros"
"13. EDGARDO  LOVERA RIQUELME (H)","PEV",39,0.0079,FALSE,"PARTIDO ECOLOGISTA VERDE","GORBEA","Otros"
"14. ANGELICA TEPPER KOLOSSA (M)","IND-RN",136,0.0274,TRUE,"VAMOS POR CHILE","GORBEA","Vamos por Chile"
"15. LUIS MAYOL BOUCHON (H)","RN",517,0.1043,TRUE,"VAMOS POR CHILE","GORBEA","Vamos por Chile"
"16. MELISA BECKER MERINO (M)","RN",101,0.0204,FALSE,"VAMOS POR CHILE","GORBEA","Vamos por Chile"
"17. PABLO WALTER HERDENER TRUAN (H)","UDI",508,0.1025,FALSE,"VAMOS POR CHILE","GORBEA","Vamos por Chile"
"18. MARIA DEL PILAR ERRAZURIZ AMENABAR (M)","UDI",43,0.0087,FALSE,"VAMOS POR CHILE","GORBEA","Vamos por Chile"
"19. ALEJO  APRAIZ CONTARDO (H)","IND-EVOPOLI",40,0.0081,FALSE,"VAMOS POR CHILE","GORBEA","Vamos por Chile"
"20. ELIZABETH BRAND DEISLER (M)","IND-EVOPOLI",50,0.0101,FALSE,"VAMOS POR CHILE","GORBEA","Vamos por Chile"
"21. JACQUELINE BURDILES ESPINOZA (M)","PDC",395,0.0797,FALSE,"LISTA DEL APRUEBO","GORBEA","Lista del apruebo"
"22. EDUARDO GUILLERMO CASTILLO VIGOUROUX (H)","PPD",124,0.025,TRUE,"LISTA DEL APRUEBO","GORBEA","Lista del apruebo"
"23. MINERVA CASTAÑEDA MELIÑAN (M)","PS",74,0.0149,FALSE,"LISTA DEL APRUEBO","GORBEA","Lista del apruebo"
"24. ILICH ANTONIO SILVA PEÑA (H)","IND-PRO",18,0.0036,FALSE,"LISTA DEL APRUEBO","GORBEA","Lista del apruebo"
"25. VIOLETA DEL PILAR PALAVICINO CAYUNAO (M)","IND-PPD",65,0.0131,FALSE,"LISTA DEL APRUEBO","GORBEA","Lista del apruebo"
"26. HEINRICH  VON BAER VON LOCHOW (H)","IND-PDC",218,0.044,FALSE,"LISTA DEL APRUEBO","GORBEA","Lista del apruebo"
"27. ELIANA DEL CARMEN ROA VALENZUELA (M)","IND-PRO",13,0.0026,FALSE,"LISTA DEL APRUEBO","GORBEA","Lista del apruebo"
"28. MANUELA ROYO LETELIER (M)","IND-IGUALDAD",266,0.0537,TRUE,"APRUEBO DIGNIDAD","GORBEA","Apruebo Dignidad"
